ㄧ ㄐㄧㄡˇ ㄐㄧㄡˇ ㄑㄧ	一九九七 60
ㄧ ㄐㄧㄡˇ ㄐㄧㄡˇ ㄙㄢ	一九九三 94
ㄧ ㄐㄧㄡˇ ㄐㄧㄡˇ ㄐㄧㄡˇ	一九九九 51
ㄧ ㄐㄧㄡˇ ㄐㄧㄡˇ ㄦˋ	一九九二 113
ㄧ ㄐㄧㄡˇ ㄐㄧㄡˇ ㄨˇ	一九九五 95
ㄧ ㄐㄧㄡˇ ㄐㄧㄡˇ ㄅㄚ	一九九八 137
ㄧ ㄐㄧㄡˇ ㄐㄧㄡˇ ㄌㄧㄡˋ	一九九六 73
ㄧ ㄐㄧㄡˇ ㄐㄧㄡˇ ㄙˋ	一九九四 75
ㄧ ㄐㄧㄡˇ ㄐㄧㄡˇ ㄌㄧㄥˊ ㄋㄧㄢˊ ㄉㄞˋ	一九九零年代 1
ㄧ ㄐㄧㄡˇ ㄦˋ	一九二 86
ㄧ ㄐㄧㄡˇ ㄦˋ ㄌㄧㄥˊ ㄋㄧㄢˊ ㄉㄞˋ	一九二零年代 2
ㄧ ㄐㄧㄡˇ ㄨˇ ㄌㄧㄥˊ ㄋㄧㄢˊ ㄉㄞˋ	一九五零年代 2
ㄧ ㄐㄧㄡˇ ㄅㄚ	一九八 484
ㄧ ㄐㄧㄡˇ ㄅㄚ ㄌㄧㄥˊ ㄋㄧㄢˊ ㄉㄞˋ	一九八零年代 11
ㄧ ㄐㄧㄡˇ ㄌㄧㄡˋ	一九六 240
ㄧ ㄐㄧㄡˇ ㄌㄧㄡˋ ㄌㄧㄥˊ ㄋㄧㄢˊ ㄉㄞˋ	一九六零年代 8
ㄧ ㄍㄢ ㄦˋ ㄐㄧㄥˋ	一乾二淨 8
ㄧˋ ㄍㄢ ㄦˋ ㄐㄧㄥˋ	一乾二淨 8
ㄧ ㄌㄧㄠˇ ㄅㄞˇ ㄌㄧㄠˇ	一了百了 3
ㄧˋ ㄌㄧㄠˇ ㄅㄞˇ ㄌㄧㄠˇ	一了百了 3
ㄧ ㄕˋ ㄨㄟˋ ㄔㄥˊ	一事未成 0
ㄧˊ ㄕˋ ㄨㄟˋ ㄔㄥˊ	一事未成 0
ㄧ ㄕˋ ㄨˊ ㄔㄥˊ	一事無成 9
ㄧˊ ㄕˋ ㄨˊ ㄔㄥˊ	一事無成 9
ㄧ ㄦˋ ㄑㄧ	一二七 5
ㄧ ㄦˋ ㄙㄢ ㄗˋ ㄧㄡˊ ㄖˋ	一二三自由日 1
ㄧ ㄦˋ ㄐㄧㄡˇ	一二九 7
ㄧ ㄦˋ ㄨˇ	一二五 9
ㄧ ㄦˋ ㄌㄧㄡˋ	一二六 14
ㄧ ㄦˋ ㄙˋ	一二四 6
ㄧ ㄦˋ ㄌㄡˊ	一二樓 2
ㄧ ㄨˇ	一五 155
ㄧ ㄨˇ ㄧ ㄕˊ	一五一十 4
ㄧ ㄒㄧㄝ	一些 7597
ㄧˋ ㄒㄧㄝ	一些 7597
ㄧ ㄒㄧㄝ ㄕˋ	一些事 71
ㄧ ㄒㄧㄝ ㄒㄧㄝ	一些些 9
ㄧˋ ㄒㄧㄝ ㄒㄧㄝ	一些些 9
ㄧ ㄒㄧㄝ ㄉㄜ˙	一些的 30
ㄧˋ ㄒㄧㄝ ㄉㄜ˙	一些的 30
ㄧ ㄖㄣˊ	一人 299 伊人 11
ㄧ ㄖㄣˊ ㄈㄣˋ	一人份 3
ㄧˋ ㄖㄣˊ ㄈㄣˋ	一人份 3
ㄧ ㄖㄣˊ ㄉㄜˊ ㄉㄠˋ	一人得道 0
ㄧ ㄐㄧㄝˋ	一屆 313 醫界 112 一介 8
ㄧˊ ㄐㄧㄝˋ	一屆 313 一介 8
ㄧ ㄐㄧㄝˋ ㄅㄨˋ ㄑㄩˇ	一介不取 0
ㄧˊ ㄐㄧㄝˋ ㄅㄨˋ ㄑㄩˇ	一介不取 0
ㄧ ㄐㄧㄝˋ ㄅㄨˋ ㄍㄡˇ	一介不苟 0
ㄧˊ ㄐㄧㄝˋ ㄅㄨˋ ㄍㄡˇ	一介不苟 0
ㄧ ㄈㄨˋ	依附 57 一副 39 一付 10
ㄧˊ ㄈㄨˋ	一副 39 一付 10 姨父 2
ㄧ ㄑㄧㄢ ㄉㄨㄛ	一千多 164 一仟多 3
ㄧ ㄉㄞˋ	一代 414 一帶 385 一袋 26 衣袋 8 衣帶 7
ㄧˊ ㄉㄞˋ	一代 414 一帶 385 一袋 26
ㄧ ㄉㄞˋ ㄅㄨˋ ㄖㄨˊ ㄧ ㄉㄞˋ	一代不如一代 5
ㄧˊ ㄉㄞˋ ㄅㄨˋ ㄖㄨˊ ㄧˊ ㄉㄞˋ	一代不如一代 5
ㄧ ㄉㄞˋ ㄉㄞˋ	一代代 1
ㄧˊ ㄉㄞˋ ㄉㄞˋ	一代代 1
ㄧ ㄉㄞˋ ㄐㄩˋ ㄅㄛˋ	一代巨擘 1
ㄧˊ ㄉㄞˋ ㄐㄩˋ ㄅㄛˋ	一代巨擘 1
ㄧ ㄉㄞˋ ㄧㄥ ㄏㄠˊ	一代英豪 0
ㄧˊ ㄉㄞˋ ㄧㄥ ㄏㄠˊ	一代英豪 0
ㄧ ㄉㄞˋ ㄏㄠˊ ㄐㄧㄝˊ	一代豪傑 0
ㄧˊ ㄉㄞˋ ㄏㄠˊ ㄐㄧㄝˊ	一代豪傑 0
ㄧ ㄧˇ ㄍㄨㄢˋ ㄓ	一以貫之 8
ㄧˋ ㄧˇ ㄍㄨㄢˋ ㄓ	一以貫之 8
ㄧ ㄐㄧㄢˋ	一件 666 一見 88
ㄧˊ ㄐㄧㄢˋ	一件 666 一見 88
ㄧ ㄐㄧㄢˋ ㄕˋ	一件事 248
ㄧˊ ㄐㄧㄢˋ ㄕˋ	一件事 248
ㄧ ㄖㄣˋ	一任 38
ㄧˊ ㄖㄣˋ	一任 38
ㄧ ㄈㄣˋ	一份 521
ㄧˊ ㄈㄣˋ	一份 521 一分 205
ㄧ ㄒㄧㄡ ㄏㄜˊ ㄕㄤˋ	一休和尚 1
ㄧ ㄏㄨㄛˇ	一夥 5 一伙 0 一火 0
ㄧˋ ㄏㄨㄛˇ	一夥 5 一伙 0 一火 0
ㄧ ㄙˋ	一似 4
ㄧˊ ㄙˋ	疑似 176 一似 4
ㄧ ㄨㄟˋ	一位 1179 一味 111 依偎 23
ㄧˊ ㄨㄟˋ	一位 1179 一味 111 移位 18
ㄧ ㄨㄟˋ ㄕㄨˋ	一位數 3
ㄧ ㄓㄨˋ	一住 2
ㄧˊ ㄓㄨˋ	移住 8 遺著 6 一住 2
ㄧ ㄈㄛˊ ㄔㄨ ㄕˋ	一佛出世 0
ㄧˋ ㄈㄛˊ ㄔㄨ ㄕˋ	一佛出世 0
ㄧ ㄅㄧㄥˋ	一併 189 醫病 33 一病 5
ㄧˊ ㄅㄧㄥˋ	一併 189 一病 5
ㄧ ㄅㄧㄥˋ ㄔㄨˇ ㄌㄧˇ	一併處理 7
ㄧ ㄅㄧㄥˋ ㄔㄨˋ ㄌㄧˇ	一併處理 7
ㄧˊ ㄅㄧㄥˋ ㄔㄨˋ ㄌㄧˇ	一併處理 7
ㄧ ㄌㄞˊ	一來 330
ㄧˋ ㄌㄞˊ	一來 330
ㄧ ㄌㄞˊ ㄧ ㄨㄤˇ	一來一往 8
ㄧ ㄌㄞˊ ㄧˋ ㄨㄤˇ	一來一往 8
ㄧˋ ㄌㄞˊ ㄧ ㄨㄤˇ	一來一往 8
ㄧ ㄌㄞˊ ㄉㄠˋ	一來到 3
ㄧˋ ㄌㄞˊ ㄉㄠˋ	一來到 3
ㄧ ㄌㄧˋ	一例 40 一粒 24 依例 4
ㄧˊ ㄌㄧˋ	一例 40 一粒 24
ㄧ ㄒㄧㄣˋ	一信 33
ㄧ ㄍㄜ˙	一個 19451
ㄧˊ ㄍㄜ˙	一個 19451
ㄧˋ ㄍㄜ˙	一個 19451
ㄧ ㄍㄜ˙ ㄅㄨˋ ㄒㄧㄠˇ ㄒㄧㄣ	一個不小心 4
ㄧ ㄍㄜˋ ㄓㄨㄥ ㄍㄨㄛˊ ㄓㄥˋ ㄘㄜˋ	一個中國政策 8
ㄧˋ ㄍㄜˋ ㄓㄨㄥ ㄍㄨㄛˊ ㄓㄥˋ ㄘㄜˋ	一個中國政策 8
ㄧ ㄍㄜ˙ ㄖㄣˊ	一個人 831
ㄧˊ ㄍㄜ˙ ㄖㄣˊ	一個人 831
ㄧˋ ㄍㄜ˙ ㄖㄣˊ	一個人 831
ㄧ ㄍㄜ˙ ㄖㄣˊ ㄓㄨˋ	一個人住 8
ㄧ ㄍㄜˋ ㄍㄜˋ	一個個 209
ㄧ ㄍㄜˋ ㄍㄜ˙	一個個 209
ㄧ ㄍㄜ˙ ㄍㄜ˙	一個個 209
ㄧˊ ㄍㄜˋ ㄍㄜˋ	一個個 209
ㄧˊ ㄍㄜˋ ㄍㄜ˙	一個個 209
ㄧˊ ㄍㄜ˙ ㄍㄜ˙	一個個 209
ㄧ ㄍㄜˋ ㄐㄧㄣˋ ㄦ	一個勁兒 4
ㄧ ㄍㄜˋ ㄐㄧㄣˋ ㄦˊ	一個勁兒 4
ㄧ ㄍㄜˋ ㄐㄧㄥˋ ㄦ	一個勁兒 4
ㄧ ㄍㄜˋ ㄐㄧㄥˋ ㄦˊ	一個勁兒 4
ㄧ ㄍㄜ˙ ㄐㄧㄣˋ ㄦ	一個勁兒 4
ㄧ ㄍㄜ˙ ㄐㄧㄣˋ ㄦˊ	一個勁兒 4
ㄧ ㄍㄜ˙ ㄐㄧㄥˋ ㄦ	一個勁兒 4
ㄧ ㄍㄜ˙ ㄐㄧㄥˋ ㄦˊ	一個勁兒 4
ㄧˊ ㄍㄜˋ ㄐㄧㄣˋ ㄦ	一個勁兒 4
ㄧˊ ㄍㄜˋ ㄐㄧㄣˋ ㄦˊ	一個勁兒 4
ㄧˊ ㄍㄜˋ ㄐㄧㄥˋ ㄦ	一個勁兒 4
ㄧˊ ㄍㄜˋ ㄐㄧㄥˋ ㄦˊ	一個勁兒 4
ㄧˊ ㄍㄜ˙ ㄐㄧㄣˋ ㄦ	一個勁兒 4
ㄧˊ ㄍㄜ˙ ㄐㄧㄣˋ ㄦˊ	一個勁兒 4
ㄧˊ ㄍㄜ˙ ㄐㄧㄥˋ ㄦ	一個勁兒 4
ㄧˊ ㄍㄜ˙ ㄐㄧㄥˋ ㄦˊ	一個勁兒 4
ㄧ ㄍㄜˋ ㄅㄢˋ	一個半 37
ㄧˋ ㄍㄜ˙ ㄅㄢˋ	一個半 37
ㄧ ㄍㄜ˙ ㄗˋ	一個字 107
ㄧˋ ㄍㄜ˙ ㄗˋ	一個字 107
ㄧ ㄍㄜ˙ ㄒㄧㄠˇ ㄕˊ	一個小時 92
ㄧ ㄍㄜˋ ㄒㄧㄠˇ ㄕˊ ㄏㄡˋ	一個小時後 3
ㄧ ㄍㄜ˙ ㄒㄧㄠˇ ㄕˊ ㄏㄡˋ	一個小時後 3
ㄧ ㄍㄜ˙ ㄐㄧㄝ ㄧ ㄍㄜ˙	一個接一個 8
ㄧ ㄍㄜ˙ ㄩㄝˋ	一個月 471
ㄧˊ ㄍㄜ˙ ㄩㄝˋ	一個月 471
ㄧˋ ㄍㄜ˙ ㄩㄝˋ	一個月 471
ㄧ ㄍㄜ˙ ㄧㄤˋ	一個樣 10
ㄧˊ ㄍㄜ˙ ㄧㄤˋ	一個樣 10
ㄧˋ ㄍㄜ˙ ㄊㄡˊ ㄌㄧㄤˇ ㄍㄜ˙ ㄉㄚˋ	一個頭兩個大 2
ㄧ ㄍㄜ˙ ㄅㄧˊ ㄎㄨㄥˇ	一個鼻孔 6
ㄧˊ ㄍㄜ˙ ㄅㄧˊ ㄎㄨㄥˇ	一個鼻孔 6
ㄧ ㄍㄜ˙ ㄅㄧˊ ㄎㄨㄥˇ ㄔㄨ ㄑㄧˋ	一個鼻孔出氣 1
ㄧ ㄅㄟˋ	一輩 208 一倍 61 一被 19 一臂 14
ㄧˊ ㄅㄟˋ	一輩 208 一倍 61 一被 19
ㄧ ㄔㄤˋ ㄙㄢ ㄊㄢˋ	一倡三歎 0
ㄧˊ ㄔㄤˋ ㄙㄢ ㄊㄢˋ	一倡三歎 0
ㄧ ㄔㄤˋ ㄅㄞˇ ㄏㄜˋ	一倡百和 0
ㄧˊ ㄔㄤˋ ㄅㄞˇ ㄏㄜˋ	一倡百和 0
ㄧ ㄆㄧㄢ	一篇 571 一偏 2
ㄧˋ ㄆㄧㄢ	一篇 571 一偏 2
ㄧ ㄗㄨㄛˋ	一座 326 一做 18
ㄧˊ ㄗㄨㄛˋ	一座 326 一做 18 移作 14 遺作 7
ㄧ ㄗㄨㄛˋ ㄉㄠˋ	一做到 0
ㄧˊ ㄗㄨㄛˋ ㄉㄠˋ	一做到 0
ㄧ ㄊㄧㄥˊ	一停 6
ㄧˋ ㄊㄧㄥˊ	一停 6
ㄧ ㄘㄜˋ	一側 25 一冊 21 一測 2
ㄧˊ ㄘㄜˋ	一側 25 一冊 21 一測 2 遺策 0
ㄧ ㄈㄨˋ ㄓㄨㄥˋ ㄒㄧㄡ	一傅眾咻 0
ㄧˊ ㄈㄨˋ ㄓㄨㄥˋ ㄒㄧㄡ	一傅眾咻 0
ㄧ ㄔㄨㄢˊ ㄗㄞˋ ㄔㄨㄢˊ	一傳再傳 0
ㄧˋ ㄔㄨㄢˊ ㄗㄞˋ ㄔㄨㄢˊ	一傳再傳 0
ㄧ ㄔㄨㄢˊ ㄕˊ	一傳十 4
ㄧ ㄔㄨㄢˊ ㄕˊ ㄕˊ ㄔㄨㄢˊ ㄅㄞˇ	一傳十十傳百 1
ㄧ ㄧˋ	一億 291 一意 50 一義 6
ㄧˊ ㄧˋ	一億 291 一意 50 疑義 41 一義 6 迻譯 2 胰液 0
ㄧ ㄧˋ ㄖㄣˊ	一億人 2
ㄧˊ ㄧˋ ㄖㄣˊ	一億人 2
ㄧ ㄧˋ ㄩㄢˊ	一億元 31
ㄧˊ ㄧˋ ㄩㄢˊ	一億元 31
ㄧ ㄔㄤˊ ㄙㄨˋ ㄩㄢˋ	一償宿願 2
ㄧ ㄩㄢˊ	一元 92 一員 44 一圓 16
ㄧˋ ㄩㄢˊ	議員 835 億元 634 一元 92 一員 44 一圓 16 譯員 12
ㄧ ㄩㄢˊ ㄏㄨㄚˋ	一元化 34
ㄧˋ ㄩㄢˊ ㄏㄨㄚˋ	一元化 34
ㄧ ㄩㄢˊ ㄈㄨˋ ㄕˇ	一元復始 1
ㄧˋ ㄩㄢˊ ㄈㄨˋ ㄕˇ	一元復始 1
ㄧ ㄩㄢˊ ㄌㄨㄣˋ	一元論 4
ㄧˋ ㄩㄢˊ ㄌㄨㄣˋ	一元論 4
ㄧ ㄓㄠˋ	依照 697 一兆 44
ㄧˊ ㄓㄠˋ	一兆 44 遺照 7 遺詔 0
ㄧ ㄓㄠˋ ㄩㄢˊ	一兆元 2
ㄧˊ ㄓㄠˋ ㄩㄢˊ	一兆元 2
ㄧ ㄎㄜˋ	一刻 98 一課 43 一客 8 一克 3
ㄧˊ ㄎㄜˋ	一刻 98 一課 43 一客 8 一克 3
ㄧ ㄋㄟˋ ㄧ ㄨㄞˋ	一內一外 0
ㄧˊ ㄋㄟˋ ㄧˊ ㄨㄞˋ	一內一外 0
ㄧ ㄌㄧㄤˇ	一兩 332
ㄧˋ ㄌㄧㄤˇ	一兩 332
ㄧ ㄌㄧㄤˇ ㄅㄞˇ	一兩百 21
ㄧ ㄌㄧㄤˇ ㄨㄢˋ	一兩萬 8
ㄧ ㄌㄧㄤˇ ㄉㄧㄢˇ	一兩點 3
ㄧ ㄅㄚ ㄑㄧ	一八七 19
ㄧ ㄅㄚ ㄙㄢ	一八三 18
ㄧ ㄅㄚ ㄦˋ	一八二 7
ㄧ ㄅㄚ ㄨˇ	一八五 23
ㄧ ㄅㄚ ㄅㄚ	一八八 19
ㄧ ㄅㄚ ㄌㄧㄡˋ	一八六 31
ㄧ ㄅㄚ ㄙˋ	一八四 21
ㄧ ㄌㄧㄡˋ ㄧ	一六一 21
ㄧ ㄌㄧㄡˋ ㄑㄧ	一六七 9
ㄧ ㄌㄧㄡˋ ㄙㄢ	一六三 23
ㄧ ㄌㄧㄡˋ ㄦˋ	一六二 8
ㄧ ㄌㄧㄡˋ ㄨˇ	一六五 7
ㄧ ㄌㄧㄡˋ ㄅㄚ	一六八 11
ㄧ ㄌㄧㄡˋ ㄌㄧㄡˋ	一六六 15
ㄧ ㄍㄨㄥˋ	一共 235
ㄧˊ ㄍㄨㄥˋ	一共 235
ㄧ ㄍㄨㄥˋ ㄕˋ	一共是 2
ㄧˊ ㄍㄨㄥˋ ㄕˋ	一共是 2
ㄧ ㄅㄧㄥ	一兵 1
ㄧˋ ㄅㄧㄥ	一兵 1
ㄧ ㄅㄧㄥ ㄧ ㄗㄨˊ	一兵一卒 1
ㄧ ㄅㄧㄥ ㄧˋ ㄗㄨˊ	一兵一卒 1
ㄧˋ ㄅㄧㄥ ㄧ ㄗㄨˊ	一兵一卒 1
ㄧ ㄐㄩˋ	依據 775 一句 329 一具 32
ㄧˊ ㄐㄩˋ	一句 329 一具 32 疑懼 12
ㄧ ㄗㄞˋ	一再 491 一在 26
ㄧˊ ㄗㄞˋ	一再 491 一在 26
ㄧ ㄗㄞˋ ㄉㄧㄥ ㄋㄧㄥˊ	一再叮嚀 1
ㄧˊ ㄗㄞˋ ㄉㄧㄥ ㄋㄧㄥˊ	一再叮嚀 1
ㄧ ㄗㄞˋ ㄉㄜ˙	一再的 10
ㄧˊ ㄗㄞˋ ㄉㄜ˙	一再的 10
ㄧ ㄔㄨ ㄌㄞˊ	一出來 12
ㄧˋ ㄔㄨ ㄌㄞˊ	一出來 12
ㄧ ㄔㄨ ㄑㄩˋ	一出去 1
ㄧˋ ㄔㄨ ㄑㄩˋ	一出去 1
ㄧ ㄔㄨ ㄔㄤˇ	一出場 1
ㄧˋ ㄔㄨ ㄔㄤˇ	一出場 1
ㄧ ㄉㄠ	一刀 30
ㄧˋ ㄉㄠ	一刀 30
ㄧ ㄉㄠ ㄌㄧㄤˇ ㄉㄨㄢˋ	一刀兩斷 3 一刀兩段 0
ㄧˋ ㄉㄠ ㄌㄧㄤˇ ㄉㄨㄢˋ	一刀兩斷 3 一刀兩段 0
ㄧ ㄉㄠ ㄐㄧㄢˋ ㄒㄧㄝˇ	一刀見血 0
ㄧˋ ㄉㄠ ㄐㄧㄢˋ ㄒㄧㄝˇ	一刀見血 0
ㄧ ㄈㄣ	一分 205 衣分 0
ㄧˋ ㄈㄣ	一分 205
ㄧ ㄈㄣ ㄧ ㄇㄧㄠˇ	一分一秒 4
ㄧ ㄈㄣ ㄧˋ ㄇㄧㄠˇ	一分一秒 4
